10000, 407903, 407903, 28, 28, 330623, 330623, 200339, 200339
20000, 912011, 912011, 36, 36, 744108, 744108, 441087, 441087
30000, 1481573.8, 1487263, 33.6, 34, 1177795.4, 1178567, 693287.4, 693855
40000, 1835038, 1835038, 38, 38, 1498511, 1498511, 887336, 887336
50000, 2643699, 2643699, 40, 40, 2133201, 2133201, 1239700, 1239700
60000, 2937059.6, 3045209, 36.8, 37, 2357013.7, 2407159, 1385443.8, 1411740
70000, 3487577.25, 3496109, 36, 36, 2805936.75, 2811645, 1645719.75, 1649074
80000, 4041436.1, 4103127, 37.25, 38, 3286434.8, 3345617, 1920325.9, 1950002
90000, 4814776.5, 4922989, 39.7, 43, 3876105.85, 3977786, 2249750.7, 2300838
100000, 5292706.95, 5572388, 38.15, 40, 4243819.85, 4417648, 2468998.8, 2556063
