1000, 1423464, 1423464, 603, 603, 962008, 962008, 465111, 465111
2000, 3648853, 3648853, 1203, 1203, 2825321, 2825321, 831524, 831524
3000, 11308932.1, 14549828, 1832, 1851, 7905454.45, 9525568, 3414786.45, 5034867
4000, 19578617, 20642288, 2438.8, 2476, 13790657.4, 14322404, 5803096.2, 6334830
5000, 31418064.9, 36846536, 3043.1, 3102, 21960687.4, 24674577, 9476230.5, 12190112
6000, 52454126.45, 59405944, 3649.2, 3685, 35228657.4, 38704238, 17247306.6, 20722837
7000, 67288386.75, 81452614, 4260.5, 4308, 45896250.85, 52977694, 21418011.35, 28499457
8000, 76956360.25, 100483263, 4845.75, 4876, 54480969.15, 66243515, 22505814.9, 34268322
9000, 107428007.7, 134827561, 5466.95, 5542, 73966780.5, 87665612, 33494747.45, 47193576
10000, 127390222.7, 166726881, 6055.75, 6112, 88698375.9, 108365478, 38729431.65, 58396542
