10000, 621171, 621171, 36, 36, 1570353, 1570353, 1588705, 1588705
20000, 1351844, 1351844, 41, 41, 3439593, 3439593, 3469651, 3469651
30000, 2124908.75, 2124943, 37.9, 38, 5424895.8, 5424965, 5463441.2, 5463536
40000, 2920382.1, 2921248, 43.7, 44, 7470407.6, 7473622, 7516267.2, 7518356
50000, 3741500.4, 3741921, 39.7, 40, 9588165.2, 9588778, 9638762.35, 9639837
60000, 4573744.45, 4579080, 42.1, 43, 11736057.35, 11749281, 11790474, 11804180
70000, 5420428.7, 5425679, 42.5, 45, 13921159, 13933654, 13979906.6, 13993770
80000, 6281447.25, 6284011, 42.7, 44, 16146198.1, 16153666, 16208468.55, 16215340
90000, 7149480, 7151484, 43.9, 46, 18391293.75, 18397262, 18455695.6, 18460998
100000, 8024383.1, 8028558, 44.3, 48, 20655540.05, 20665070, 20721066, 20732415
