1000, 21290, 21290, 24, 24, 44455, 44455, 48688, 48688
2000, 45792, 45792, 28, 28, 97503, 97503, 105911, 105911
3000, 71090, 71090, 26, 26, 152654, 152654, 164953, 164953
4000, 98944, 98944, 37, 37, 214705, 214705, 231528, 231528
5000, 123330, 123330, 29, 29, 267639, 267639, 288011, 288011
6000, 154453, 154453, 28, 28, 338303, 338303, 363269, 363269
7000, 181322, 181322, 31, 31, 398105, 398105, 427005, 427005
8000, 212224, 212224, 34, 34, 468535, 468535, 501484, 501484
9000, 234331, 234331, 37, 37, 514530, 514530, 551483, 551483
10000, 264988.7, 267412, 33.1, 34, 584810.8, 591655, 625689.2, 632507
